taskname,category
2 Guys & A Truck,Construction
2 L-Demolition,Construction
2 Landscape/Irrigation,Construction
2 Landscaping,Construction
2 Landscaping New -LI,Construction
2 M-Demolition,Construction
2 NonMovable Benches-LI,Construction
2 Overhead and Profit,Construction
2 Paving,Construction
2 Permit,Soft Costs
2 Pkg Lots/Ext Paving-LI,Construction
2 Removal,Construction
2 Site Civil at Fuel Farm,Construction
2 Site Construction,Construction
"2 Site Construction,",Construction
"2 Site Construction, all",Construction
2 Site Improvements,Construction
2 Site Lawn/Road Equip,Construction
2 Site Materials/Methods,Construction
2 Site NCCO Buildout,Construction
2 Site NCCO IT Costs,Construction
2 Site Preparation,Construction
2 Site Remediation,Construction
2 Site Restoration,Construction
2 Tunneling| Boring & Jacking,Construction
2 Unsuitable Solis,Construction
2 Utility Services,Construction
2-Design & Engineering,Soft Costs
2.00 Management Fee- check,Soft Costs
2.01 CM Approved Cost,Construction
2.04 Alternate (ADD) - Sky Fold Operable Partition & Support Steel,FF&E + Millwork
2.06 Alternate (ADD) - Classroom wood paneling,Construction
20% Contingency on Base PM Fee,Construction
"20.0000 Mechanical, all",Construction
20101000-General Conditions - L,Construction
"20101000-HC Cont- owners, all",Uncategorized
20101000-HC Contingency,Construction
20101000-HC Contingency - CM,Construction
20101000-JA2010000-Owner Contingency,Construction
20101100-HC Contingency - Owner,Construction
20101200-HC Escalation,Uncategorized
20101997-Contingency Capital - L,Construction
20101998-Contingency Capital - O,Construction
20101999-CT Contingency Capital - GRI,Construction
20101999-Contingency,Construction
20101999-Contingency - CAP,Construction
20101999-Contingency - Capital,Construction
20101999-Contingency - EXP,Construction
20101999-Contingency - Expense,Construction
20101999-Contingency All,Construction
20101999-Contingency Capital - GRI,Construction
20101999-Contingency EXP,Construction
20101999-Contingency Exp,Construction
20101999-Contingency Owner,Construction
20101999-Contingency-CAP,Construction
20101999-Contingency-EXP,Construction
20101999-Contingency-Exp,Construction
20101999-HC Cont -Owner 4,Uncategorized
20101999-Hard Cost Contingency,Construction
20101999-JA1011000-Construction Conting,Construction
20102995-Contingency Exp - L,Construction
20102997-Contingency Exp - GRI,Construction
2023 Hard Construction - BAMR,Construction
20301995-Environmental,Soft Costs
20301995-Restoration Exp,Uncategorized
20301996-Asbestos Abatement,Uncategorized
20401000-Reimb Hard Costs Exp,Construction
20401997-Building Permits TI - L,Soft Costs
20501000-1 ATI Emergency Recon,Uncategorized
20501000-1 General Expense,Uncategorized
"20501000-1 General Require, al",Uncategorized
"20501000-1 General Require, all",Uncategorized
20501000-1 General Requirements,Construction
20501000-Gen Requirements,Uncategorized
20501000-General Cond-Exp,Uncategorized
20501000-General Conditions,Construction
20501000-General Require,Uncategorized
20501000-General Require| all,Uncategorized
20501000-JA1002000-General Conditions,Construction
20501100-1 Construction,Construction
20501100-1 General Req.-LHI,Uncategorized
20501100-BB Total Construction Exp,Construction
20501100-Construction,Construction
20501100-Construction (A),Construction
20501100-Construction - Exp,Construction
20501100-Construction Other,Construction
20501100-General Construction,Construction
20501100-General Construction Exp,Construction
20501100-General Requirements,Construction
20501100-LHI Pre-bid Estimate,Uncategorized
20501100-TI Total Construction - L,Construction
20501100-Total Construction - L,Construction
20501300-1 Admin Requirements,Uncategorized
20501300-1 General Req.-BM,Uncategorized
20501300-1 M-Construction,Construction
20501300-Final Cleaning,Construction
20501300-General Conditions,Construction
20501300-General Conditions Personnel,Construction
20501300-General Requirements,Construction
20501300-NCCO NONPLIC Project Costs,Uncategorized
20501300-TI Total Construction - O,Construction
20501300-Total Construction - O,Construction
20501325-1 L-Construction,Construction
20501325-BB Total Construction - GRI,Construction
20501330-1 Bldg Construction-LHI,Construction
20501330-1 GMP Contingency,Construction
20501330-1 General Conditions,Construction
20501330-Construction Fee,Construction
20501340-1 Bldg Construction-BM,Construction
20501340-1 Construction General,Construction
20501340-1 Construction Overhead,Construction
20501340-1 GC OH&P,Construction
20501340-ADA-Construction,Construction
20501340-GC Overhead & Profit,Construction
20501340-Overhead & Fee,Soft Costs
20501345-1 Final Cleaning,Construction
20501345-Final Cleaning,Construction
20501350-1 Construction Fee,Construction
20501350-1b Bldg Construction-BM,Construction
20501350-3 GC Fee,Construction
20501350-Construction Fee,Construction
20501350-Contractor Gen. Con,Construction
20501350-Fee for Coordinating Cntr/Sub,Soft Costs
20501350-PM Fee,Soft Costs
20501400-1 General Cleaning-BMR,Uncategorized
20501450-1b Bldg Construction-LHI,Construction
20501450-Construction Testing,Construction
20501525-Signage Interior,FF&E + Millwork
20501525-Temporary Signage,FF&E + Millwork
20501526-Parking Lot Improvement,Uncategorized
20501526-Parking Lot Improvements,Uncategorized
20501575-1 Hazmat/Asbestos Abat,Uncategorized
20501575-1 Remediation-BMR,Uncategorized
